,fname,class,class_id,path
0,0000000,C06,5,/home/hddraid/shared_data/ohsumed-all/C06/0000000
1,0000001,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000001
2,0000003,C06,5,/home/hddraid/shared_data/ohsumed-all/C06/0000003
3,0000005,C10,9,/home/hddraid/shared_data/ohsumed-all/C10/0000005
4,0000007,C10,9,/home/hddraid/shared_data/ohsumed-all/C10/0000007
5,0000008,C10,9,/home/hddraid/shared_data/ohsumed-all/C10/0000008
6,0000009,C10,9,/home/hddraid/shared_data/ohsumed-all/C10/0000009
7,0000012,C16,15,/home/hddraid/shared_data/ohsumed-all/C16/0000012
8,0000014,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000014
9,0000019,C09,8,/home/hddraid/shared_data/ohsumed-all/C09/0000019
10,0000020,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000020
11,0000022,C07,6,/home/hddraid/shared_data/ohsumed-all/C07/0000022
12,0000024,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000024
13,0000026,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000026
14,0000027,C09,8,/home/hddraid/shared_data/ohsumed-all/C09/0000027
15,0000028,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000028
16,0000035,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000035
17,0000038,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000038
18,0000039,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000039
19,0000042,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000042
20,0000043,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000043
21,0000044,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000044
22,0000045,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000045
23,0000046,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000046
24,0000047,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000047
25,0000048,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000048
26,0000051,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000051
27,0000055,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000055
28,0000056,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000056
29,0000058,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000058
30,0000061,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000061
31,0000062,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000062
32,0000063,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000063
33,0000064,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000064
34,0000067,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000067
35,0000071,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000071
36,0000073,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000073
37,0000075,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000075
38,0000076,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000076
39,0000077,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000077
40,0000078,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000078
41,0000080,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000080
42,0000084,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000084
43,0000089,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000089
44,0000094,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000094
45,0000098,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000098
46,0000101,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000101
47,0000103,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000103
48,0000108,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000108
49,0000109,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000109
50,0000110,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000110
51,0000114,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000114
52,0000115,C06,5,/home/hddraid/shared_data/ohsumed-all/C06/0000115
53,0000117,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000117
54,0000119,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000119
55,0000124,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000124
56,0000126,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000126
57,0000128,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000128
58,0000129,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000129
59,0000130,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000130
60,0000136,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000136
61,0000139,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000139
62,0000140,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000140
63,0000143,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000143
64,0000145,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000145
65,0000146,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000146
66,0000147,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000147
67,0000149,C06,5,/home/hddraid/shared_data/ohsumed-all/C06/0000149
68,0000151,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000151
69,0000159,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000159
70,0000163,C11,10,/home/hddraid/shared_data/ohsumed-all/C11/0000163
71,0000165,C11,10,/home/hddraid/shared_data/ohsumed-all/C11/0000165
72,0000167,C03,2,/home/hddraid/shared_data/ohsumed-all/C03/0000167
73,0000175,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000175
74,0000179,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000179
75,0000181,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000181
76,0000184,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000184
77,0000188,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000188
78,0000189,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000189
79,0000191,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000191
80,0000195,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000195
81,0000199,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000199
82,0000204,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000204
83,0000205,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000205
84,0000206,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000206
85,0000207,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000207
86,0000208,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000208
87,0000209,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000209
88,0000210,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000210
89,0000211,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000211
90,0000212,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000212
91,0000214,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000214
92,0000217,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000217
93,0000218,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000218
94,0000219,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000219
95,0000221,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000221
96,0000224,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000224
97,0000225,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000225
98,0000226,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000226
99,0000228,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000228
100,0000229,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000229
101,0000231,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000231
102,0000232,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000232
103,0000233,C12,11,/home/hddraid/shared_data/ohsumed-all/C12/0000233
104,0000241,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000241
105,0000243,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000243
106,0000244,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000244
107,0000248,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000248
108,0000249,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000249
109,0000253,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000253
110,0000254,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000254
111,0000257,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000257
112,0000263,C10,9,/home/hddraid/shared_data/ohsumed-all/C10/0000263
113,0000265,C10,9,/home/hddraid/shared_data/ohsumed-all/C10/0000265
114,0000267,C13,12,/home/hddraid/shared_data/ohsumed-all/C13/0000267
115,0000275,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000275
116,0000276,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000276
117,0000282,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000282
118,0000283,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000283
119,0000295,C05,4,/home/hddraid/shared_data/ohsumed-all/C05/0000295
120,0000296,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000296
121,0000301,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000301
122,0000302,C05,4,/home/hddraid/shared_data/ohsumed-all/C05/0000302
123,0000304,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000304
124,0000305,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000305
125,0000307,C05,4,/home/hddraid/shared_data/ohsumed-all/C05/0000307
126,0000308,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000308
127,0000309,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000309
128,0000310,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000310
129,0000312,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000312
130,0000316,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000316
131,0000317,C05,4,/home/hddraid/shared_data/ohsumed-all/C05/0000317
132,0000318,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000318
133,0000320,C05,4,/home/hddraid/shared_data/ohsumed-all/C05/0000320
134,0000324,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000324
135,0000328,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000328
136,0000329,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000329
137,0000331,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000331
138,0000333,C15,14,/home/hddraid/shared_data/ohsumed-all/C15/0000333
139,0000335,C01,0,/home/hddraid/shared_data/ohsumed-all/C01/0000335
140,0000336,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000336
141,0000339,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000339
142,0000340,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000340
143,0000342,C19,18,/home/hddraid/shared_data/ohsumed-all/C19/0000342
144,0000343,C19,18,/home/hddraid/shared_data/ohsumed-all/C19/0000343
145,0000345,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000345
146,0000346,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000346
147,0000347,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000347
148,0000350,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000350
149,0000351,C17,16,/home/hddraid/shared_data/ohsumed-all/C17/0000351
150,0000356,C01,0,/home/hddraid/shared_data/ohsumed-all/C01/0000356
151,0000357,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000357
152,0000358,C01,0,/home/hddraid/shared_data/ohsumed-all/C01/0000358
153,0000359,C06,5,/home/hddraid/shared_data/ohsumed-all/C06/0000359
154,0000361,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000361
155,0000364,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000364
156,0000366,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000366
157,0000367,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000367
158,0000369,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000369
159,0000370,C21,20,/home/hddraid/shared_data/ohsumed-all/C21/0000370
160,0000371,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000371
161,0000373,C18,17,/home/hddraid/shared_data/ohsumed-all/C18/0000373
162,0000380,C18,17,/home/hddraid/shared_data/ohsumed-all/C18/0000380
163,0000383,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000383
164,0000385,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000385
165,0000386,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000386
166,0000388,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000388
167,0000390,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000390
168,0000392,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000392
169,0000393,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000393
170,0000397,C18,17,/home/hddraid/shared_data/ohsumed-all/C18/0000397
171,0000398,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000398
172,0000399,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000399
173,0000401,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000401
174,0000403,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000403
175,0000405,C14,13,/home/hddraid/shared_data/ohsumed-all/C14/0000405
176,0000406,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000406
177,0000410,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000410
178,0000411,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000411
179,0000413,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000413
180,0000414,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000414
181,0000415,C20,19,/home/hddraid/shared_data/ohsumed-all/C20/0000415
182,0000416,C23,22,/home/hddraid/shared_data/ohsumed-all/C23/0000416
183,0000417,C04,3,/home/hddraid/shared_data/ohsumed-all/C04/0000417
184,0000418,C01,0,/home/hddraid/shared_data/ohsumed-all/C01/0000418
185,0000420,C08,7,/home/hddraid/shared_data/ohsumed-all/C08/0000420
